sha,stamp,bench,median_ms,min_ms,max_ms,peak_rss_kb,repeats
ec98e93+dirty,2026-05-30T15:15:25Z,closure,2852,2802,2872,70304,3
ec98e93+dirty,2026-05-30T15:15:25Z,concat,2541,2526,2545,41072,3
ec98e93+dirty,2026-05-30T15:15:25Z,loop,2843,2790,2908,39856,3
ec98e93+dirty,2026-05-30T15:15:25Z,struct,4126,4122,4167,612880,3
ec98e93+dirty,2026-05-30T15:15:25Z,template,244,244,245,52416,3
ec98e93+dirty,2026-05-30T17:41:41Z,closure,2828,2808,2857,68992,3
ec98e93+dirty,2026-05-30T17:41:41Z,concat,2539,2508,2562,41136,3
ec98e93+dirty,2026-05-30T17:41:41Z,loop,2930,2926,2942,39872,3
ec98e93+dirty,2026-05-30T17:41:41Z,struct,4072,4050,4091,40704,3
ec98e93+dirty,2026-05-30T17:41:41Z,template,236,235,237,52544,3
